|        a         |        b         |       out        |of |
| 0000000000000000 | 0000000000000000 | 0000000000000000 | 0 |
| 0000000000000001 | 0000000000000001 | 0000000000000001 | 0 |
| 0000000000000010 | 0000000000000010 | 0000000000000100 | 0 |
| 0000000010110101 | 0000000010110101 | 0111111111111001 | 0 |
| 0000001000000000 | 0000001000000000 | 0000000000000000 | 1 |
| 0000001000011111 | 0000000001111011 | 0000010011100101 | 1 |
| 0100000000000000 | 0000000000000010 | 1000000000000000 | 1 |
| 1111111111111110 | 1111111111101100 | 0000000000101000 | 0 |
| 1111111110011101 | 1111111110011101 | 0010011001001001 | 0 |
| 1111111000000000 | 1111111000000000 | 0000000000000000 | 1 |
| 0000000000000011 | 1111111111101100 | 1111111111000100 | 0 |
| 1111111111101100 | 0000000000000011 | 1111111111000100 | 0 |
| 0100000000000000 | 1111111111111110 | 1000000000000000 | 0 |
| 0000000010110111 | 1111111101001001 | 0111110100101111 | 1 |
